numCircles,isParallel,AoS,nthreads,time
500,0,1,1,6.10156
1000,0,1,1,12.262
2000,0,1,1,24.3157
500,0,0,1,5.57552
1000,0,0,1,11.2029
2000,0,0,1,22.9118
