numCircles,isParallel,AoS,nthreads,time
500,0,1,1,3.6438
1000,0,1,1,7.32956
2000,0,1,1,14.8122
500,0,0,1,4.55817
1000,0,0,1,9.13437
2000,0,0,1,18.7308
